File Name,20161129_5plex_plate1.pcrd,,,,,
Created By User,Aditya,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,11/29/2016 14:44:50 UTC,,,,,
Run Ended,11/29/2016 16:07:13 UTC,,,,,
Sample Vol,10,,,,,
Lid Temp,105,,,,,
Protocol File Name,CFX_2stepAmp.prcl,,,,,
Plate Setup File Name,MPX_830.pltd,,,,,
Base Serial Number,CC004358,,,,,
Optical Head Serial Number,785BR2984,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,3,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
G12,FAM,,Unkn-31,,26.2555086822863,NaN
H01,FAM,,NTC-08,SCMPX,NaN,NaN
H02,FAM,,NTC-08,SCMPX,NaN,NaN
H03,FAM,,NTC-08,SCMPX,NaN,NaN
H04,FAM,,Unkn,,33.1217106766207,NaN
H05,FAM,,Unkn,,30.2710302878255,NaN
H06,FAM,,Unkn,,25.2239073085631,NaN
H07,FAM,,Unkn,,25.1828057887794,NaN
H08,FAM,,Unkn,,24.6541271967752,NaN
H09,FAM,,Unkn,,25.1982954482826,NaN
H10,FAM,,Unkn,,25.3768269379093,NaN
H11,FAM,,Unkn,,25.7081322604698,NaN
H12,FAM,,Unkn,,26.3910691018028,NaN
A01,HEX,,Unkn-01,SCMPX,19.9843959054899,NaN
A02,HEX,,Unkn-01,SCMPX,19.4601449127645,NaN
A03,HEX,,Unkn-01,SCMPX,19.175582633569,NaN
A04,HEX,,Unkn-09,,27.5568452243402,NaN
A05,HEX,,Unkn-09,,22.6485316569059,NaN
A06,HEX,,Unkn-09,,20.8196954853932,NaN
A07,HEX,,Unkn-17,,24.1212511389994,NaN
A08,HEX,,Unkn-17,,25.0277202436222,NaN
A09,HEX,,Unkn-17,,25.3915817850789,NaN
A10,HEX,,Unkn-25,,22.6273968718756,NaN
A11,HEX,,Unkn-25,,24.891703224732,NaN
A12,HEX,,Unkn-25,,36.9990724855051,NaN
B01,HEX,,Unkn-02,SCMPX,22.6609301789996,NaN
B02,HEX,,Unkn-02,SCMPX,22.3206485480006,NaN
B03,HEX,,Unkn-02,SCMPX,22.2301452378104,NaN
B04,HEX,,Unkn-10,,26.6181270316208,NaN
B05,HEX,,Unkn-10,,23.342508633498,NaN
B06,HEX,,Unkn-10,,17.9709976810638,NaN
B07,HEX,,Unkn-18,,23.7631482191595,NaN
B08,HEX,,Unkn-18,,23.1394165379635,NaN
B09,HEX,,Unkn-18,,23.5384551064797,NaN
B10,HEX,,Unkn-26,,19.9237386096232,NaN
B11,HEX,,Unkn-26,,23.1461916056391,NaN
B12,HEX,,Unkn-26,,27.1518761409261,NaN
C01,HEX,,Unkn-03,SCMPX,26.0131361055347,NaN
C02,HEX,,Unkn-03,SCMPX,25.9969150506876,NaN
C03,HEX,,Unkn-03,SCMPX,26.0580091912852,NaN
C04,HEX,,Unkn-11,,26.5461009594201,NaN
C05,HEX,,Unkn-11,,23.3159251893909,NaN
C06,HEX,,Unkn-11,,19.0537047601563,NaN
C07,HEX,,Unkn-19,,23.6107896343032,NaN
C08,HEX,,Unkn-19,,23.3074740981909,NaN
C09,HEX,,Unkn-19,,23.0818546273426,NaN
C10,HEX,,Unkn-27,,18.8234578586075,NaN
C11,HEX,,Unkn-27,,22.2031721300047,NaN
C12,HEX,,Unkn-27,,26.7742982059536,NaN
D01,HEX,,Unkn-04,SCMPX,29.7006720054511,NaN
D02,HEX,,Unkn-04,SCMPX,29.4749127774098,NaN
D03,HEX,,Unkn-04,SCMPX,30.1024479000889,NaN
D04,HEX,,Unkn-12,,28.3195550567472,NaN
D05,HEX,,Unkn-12,,23.0511920124339,NaN
D06,HEX,,Unkn-12,,18.8093428549447,NaN
D07,HEX,,Unkn-20,,23.9846014422083,NaN
D08,HEX,,Unkn,,23.4505712557322,NaN
D09,HEX,,Unkn-20,,23.6728165252877,NaN
D10,HEX,,Unkn-28,,20.0694275389538,NaN
D11,HEX,,Unkn-28,,23.3735125785138,NaN
D12,HEX,,Unkn-28,,27.3856913283498,NaN
E01,HEX,,Unkn-05,SCMPX,32.8494641266702,NaN
E02,HEX,,Unkn-05,SCMPX,33.2422982177164,NaN
E03,HEX,,Unkn-05,SCMPX,36.6533676792565,NaN
E04,HEX,,Unkn-13,,27.9034991861636,NaN
E05,HEX,,Unkn-13,,22.6727047387115,NaN
E06,HEX,,Unkn-13,,20.2590128196347,NaN
E07,HEX,,Unkn-21,,22.9815645859514,NaN
E08,HEX,,Unkn-21,,23.1264294970069,NaN
E09,HEX,,Unkn-21,,22.3642589946017,NaN
E10,HEX,,Unkn-29,,19.9217600394818,NaN
E11,HEX,,Unkn-29,,24.0448884951516,NaN
E12,HEX,,Unkn-29,,27.0666621838669,NaN
F01,HEX,,Unkn-06,SCMPX,35.6679666992473,NaN
F02,HEX,,Unkn-06,SCMPX,35.7571573111957,NaN
F03,HEX,,Unkn-06,SCMPX,40.2182252363083,NaN
F04,HEX,,Unkn-14,,26.8975824418306,NaN
F05,HEX,,Unkn-14,,22.9175295180585,NaN
F06,HEX,,Unkn-14,,19.4036846827007,NaN
F07,HEX,,Unkn-22,,23.2740815093324,NaN
F08,HEX,,Unkn-22,,23.1785924544619,NaN
F09,HEX,,Unkn-22,,23.1335167577291,NaN
F10,HEX,,Unkn-30,,19.000308232194,NaN
F11,HEX,,Unkn-30,,22.7951105335761,NaN
F12,HEX,,Unkn-30,,26.5957869578238,NaN
G01,HEX,,Unkn-07,SCMPX,NaN,NaN
G02,HEX,,Unkn-07,SCMPX,NaN,NaN
G03,HEX,,Unkn-07,SCMPX,NaN,NaN
G04,HEX,,Unkn-15,,27.0821005200096,NaN
G05,HEX,,Unkn-15,,23.5228382012065,NaN
G06,HEX,,Unkn-15,,20.2133963111475,NaN
G07,HEX,,Unkn-23,,23.6295628043215,NaN
G08,HEX,,Unkn-23,,24.1783119073591,NaN
G09,HEX,,Unkn-23,,24.0950781136077,NaN
G10,HEX,,Unkn-31,,20.4556566640792,NaN
G11,HEX,,Unkn-31,,23.0236643101707,NaN
G12,HEX,,Unkn-31,,27.1643211276859,NaN
H01,HEX,,NTC-08,SCMPX,NaN,NaN
H02,HEX,,NTC-08,SCMPX,NaN,NaN
H03,HEX,,NTC-08,SCMPX,NaN,NaN
H04,HEX,,Unkn,,27.6089468230174,NaN
H05,HEX,,Unkn,,23.7991401514014,NaN
H06,HEX,,Unkn,,19.5809010733217,NaN
H07,HEX,,Unkn,,22.445105281742,NaN
H08,HEX,,Unkn,,22.8050934010287,NaN
H09,HEX,,Unkn,,22.6024908162089,NaN
H10,HEX,,Unkn,,19.5127742986725,NaN
H11,HEX,,Unkn,,23.1523309760619,NaN
H12,HEX,,Unkn,,27.5865846366878,NaN
A01,Quasar 705,,Unkn-01,SCMPX,20.4460655871265,NaN
A02,Quasar 705,,Unkn-01,SCMPX,20.5680027793628,NaN
A03,Quasar 705,,Unkn-01,SCMPX,20.6218764896131,NaN
A04,Quasar 705,,Unkn-09,,27.751081520239,NaN
A05,Quasar 705,,Unkn-09,,23.6028323542785,NaN
A06,Quasar 705,,Unkn-09,,22.0820406175496,NaN
A07,Quasar 705,,Unkn-17,,28.2519908860808,NaN
A08,Quasar 705,,Unkn-17,,28.050979115983,NaN
A09,Quasar 705,,Unkn-17,,29.4327086382104,NaN
A10,Quasar 705,,Unkn-25,,29.2897103247258,NaN
